name,builtin_url,sectors,location,employees,description,revenue_model,work_regime,primary_function,secondary_function,is_michigan_hq
Pie Insurance,https://builtin.com/company/pie-insurance,Fintech • Insurance • Machine Learning • Other • Analytics • Financial Services • Automation,"Fully Remote, USA",350 Employees,Pie is transforming small business insurance. Our team of seasoned technology and insurance experts are on a mission to empower small businesses to thrive by making insurance affordable and as easy as pie.,Licensing,Startup/Venture,Bureaucracy,Tool,no
HiBob,https://builtin.com/company/hibob,HR Tech • Information Technology • Professional Services • Sales • Software,7 Offices,"1,350 Employees","HiBob helps modern, mid-size businesses transform the way they manage people, giving HR and managers all they need to connect, engage, develop, and retain top talent. Since 2015, we’ve achieved consecutive triple-digit year-over-year growth, all backed by our amazing team of Bobbers from across the globe, making us the choice HRIS of over 4000 midsize and multinational companies. Our HR platform...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Headway,https://builtin.com/company/headway,Consumer Web • Healthtech • Professional Services • Social Impact • Software,3 Offices,819 Employees,"Headway’s mission is a big one – to build a new mental health care system everyone can access. We’ve built technology that helps people find great therapists with the first software-enabled national network of providers accepting insurance. 1 in 4 people in the US have a treatable mental health condition, but the majority of providers don’t accept insurance, making therapy...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Klaviyo,https://builtin.com/company/klaviyo,Consumer Web • eCommerce • Marketing Tech • Retail • Software • Analytics • Generative AI,6 Offices,"2,400 Employees","Klaviyo (NYSE: KVYO) is the B2C CRM. Powered by its built-in data platform and AI, Klaviyo combines marketing automation, analytics, and customer service into one unified solution, making it easy for businesses to know their customers and grow faster. Klaviyo (CLAY-vee-oh) helps over 183,000 brands like Mattel, Glossier, Daily Harvest, and Liquid Death deliver 1:1 experiences at scale, improve efficiency,...",Subscription,Startup/Venture,Tool,Bureaucracy,no
The PNC Financial Services Group,https://builtin.com/company/pnc-financial-services-group,Machine Learning • Payments • Security • Software • Financial Services,6 Offices,"55,000 Employees","PNC Bank is part of one of the largest diversified financial services institutions in the United States. With a coast-to-coast presence, PNC is organized around its customers and communities for strong relationships and local delivery of retail and business banking including a full range of lending products; specialized services for corporations and government entities, including corporate banking, real estate finance...",Mixed,Corporate Agile,Bureaucracy,Tool,no
McMaster-Carr,https://builtin.com/company/mcmaster-carr,eCommerce • Hardware • Information Technology • Logistics • Mobile • Software • App development,"Elmhurst, Illinois, USA",,"McMaster-Carr is an e-commerce company offering more than half a million products used to keep business in motion. With more than 300,000 daily visits to our website, customers from a variety of industries turn to us when they need to build, design, repair or maintain just about anything because we are the complete, one-stop source for industrial supplies. Technology teams...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
Onebrief,https://builtin.com/company/onebrief,Software • Defense,"Fully Remote, USA",350 Employees,"Before Onebrief, military planning and collaboration was slow, inefficient, and resource-intensive. Building slides with no version control as partners collaborated would have staffs spend weeks or months on a single product or document. With Onebrief, these workflows are now simple and collaboration between large commands is efficient. Staff optimization is the key to building a more resilient, more effective military. Today...",Licensing,Government/Public Sector,Tool,Bureaucracy,no
Inato,https://builtin.com/company/inato,Artificial Intelligence • Greentech • Healthtech • Social Impact • Software • Biotech • Pharmaceutical,3 Offices,63 Employees,"At Inato, we’re on a mission to accelerate the pace of medical innovation by bringing clinical research to each and every patient, regardless of who they are and where they live. Our platform, made to connect community-based research centers to trials across the globe, aims to create greater visibility, access, and engagement across a more diverse population of doctors and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Playground (tryplayground.com),https://builtin.com/company/playground-tryplaygroundcom,Kids + Family • Payments • Social Impact • Software,2 Offices,60 Employees,"For too long, child care programs have been stuck with clunky tools and manual processes, falling behind while other industries get all the high-tech toys. Playground is flipping the script. Playground is a proven platform for child care providers to streamline their operations, reclaim their time, and get back to the joy of teaching and caring. Our all-in-one child care management...",Subscription,Startup/Venture,Bureaucracy,Tool,no
HRL Laboratories,https://builtin.com/company/hrl-laboratories,Computer Vision • Hardware • Machine Learning • Software • Semiconductor • Quantum Computing • Defense,5 Offices,"1,115 Employees","HRL Laboratories, LLC, Malibu, California, (hrl.com) pioneers the next frontiers of physical and information science. Delivering transformative technologies in automotive, aerospace and defense, HRL advances the critical missions of its customers. As a private company owned jointly by Boeing and GM, HRL is a source of innovations that advance the state of the art in profound and far-reaching ways.",Services,Corporate Agile,Tool,Bureaucracy,no
IMC Trading,https://builtin.com/company/imc-trading,Fintech • Machine Learning • Software • Financial Services,8 Offices,"1,954 Employees","IMC is a global trading firm powered by a cutting-edge research environment and a world-class technology backbone. Since 1989, we’ve been a stabilizing force in financial markets, providing essential liquidity upon which market participants depend. Across our offices in the US, Europe, Asia Pacific, and India, our talented quant researchers, engineers, traders, and business operations professionals are united by our...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
Sage,https://builtin.com/company/sage,Hardware • Healthtech • Software • Analytics,"New York, New York, USA",95 Employees,"Sage is an innovative, one-of-a-kind operations management system that transforms how senior living communities deliver care. Unlike traditional nurse call systems, Sage offers a comprehensive platform that provides real-time insights into care delivery and operational efficiency. Our technology empowers caregivers with the tools and data they need to provide personalized care while boosting productivity. By leveraging real-time staffing data and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Graphcore,https://builtin.com/company/graphcore,Artificial Intelligence • Semiconductor,7 Offices,488 Employees,"At Graphcore, we’re building the future of AI compute. We’re a team of semiconductor, software and AI experts, with deep experience in creating the complete AI compute stack - from silicon and software to infrastructure at datacenter scale. As part of the SoftBank Group, backed by significant long-term investment, we are delivering key technology into the fast-growing SoftBank AI ecosystem....",Hardware sales,Startup/Venture,Tool,None,no
"Findigs, Inc.",https://builtin.com/company/findigs-inc,Fintech • Real Estate • Software • PropTech,"New York, New York, USA",65 Employees,"Our all-in-one rental ecosystem establishes airtight trust between property managers and residents, unlocking a fast and fair experience for all. We build advanced tools and intuitive experiences to serve all sides of the rental equation: helping property managers grow their communities safely, and simplifying the path home for renters all across the US.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Terakeet,https://builtin.com/company/terakeet,AdTech • Digital Media • Marketing Tech • Professional Services • SEO,"Fully Remote, USA",250 Employees,"Through our patented tech and decades of experience, we improve, protect, and rebuild brand perception across both organic search and AI-generated results.",Services,Startup/Venture,Bureaucracy,Tool,no
HopSkipDrive,https://builtin.com/company/hopskipdrive,Automotive • Edtech • Kids + Family • Mobile • Social Impact • Transportation,"Fully Remote, USA",450 Employees,"We help get students to their destinations, safely and on time. Our technology connects school partners to a network of highly vetted drivers with small vehicles and wheelchair-accessible vehicles, complementing the yellow bus, filling in gaps, and enabling schools to support student transportation needs. Our partnerships with school districts, child welfare agencies and nonprofits ensure equitable educational access for our most...",Transaction fees,Startup/Venture,Tool,Bureaucracy,no
Sendbird,https://builtin.com/company/sendbird,Digital Media • Mobile • Software • Conversational AI,4 Offices,240 Employees,"For over a decade, we built the infrastructure behind conversations, chat, voice, video, messaging APIs. We became the #1 CPaaS platform for in-app communications. 4,000+ brands trust us. 7 billion messages flow through our platform every month. 300 million monthly active users. We powered conversations for DoorDash, Match Group, Noom, Yahoo Sports, Rakuten, and thousands of others. We were good at...",Usage-based,Startup/Venture,Tool,Bureaucracy,no
Udemy,https://builtin.com/company/udemy,Artificial Intelligence • Consumer Web • Edtech • Enterprise Web • HR Tech • Social Impact • Generative AI,11 Offices,"1,500 Employees","At Udemy, we’re on a mission to transform lives through learning. By combining on-demand, multi-language content with real-time innovation, Udemy delivers personalized experiences that empower over 17,000 organizations to scale workforce development and help 81 million individuals build the technical, business, and soft skills most relevant to their careers. Come join us in ensuring everyone, everywhere has access to the...",Subscription,Corporate Agile,Media,Tool,no
Advisor360,https://builtin.com/company/advisor360,Artificial Intelligence • Fintech • Software • Financial Services • Generative AI • Big Data Analytics • Automation,"Needham, Massachusetts, USA",500 Employees,"Advisor360° is a fintech company that helps wealth management firms deliver better experiences to financial advisors and their clients. We offer an integrated technology platform that brings together portfolio management, CRM, digital onboarding, compliance tools, and client portals in one place. Our cloud-based solution, powered by AI-driven insights, connects advisors with the data and tools they need to grow their...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Halo Investing,https://builtin.com/company/halo-investing,Fintech • Software • Financial Services,"Chicago, Illinois, USA",120 Employees,"Halo Investing is an award-winning technology platform that disrupts how protective investment solutions are used worldwide. Headquartered in Chicago, with employees worldwide, we’re on a mission to change the world by democratizing access to investment solutions that were previously unavailable to most investors. Our marketplace connects financial advisors and investors to protective investment products – including structured notes and annuities...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Gradient AI,https://builtin.com/company/gradient-ai,Artificial Intelligence • Insurance • Machine Learning • Software • Analytics,"Boston, Massachusetts, USA",120 Employees,"Gradient AI is revolutionizing Group Health and P&C insurance with AI-powered solutions that help insurers predict risk more accurately, improve profitability, and automate underwriting and claims. Our SaaS platform taps into one of the industry’s largest data lakes—tens of millions of policies and claims—to deliver deep, actionable insights. Trusted by leading carriers, MGAs, TPAs, and self-insured employers, Gradient AI has...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Taboola,https://builtin.com/company/taboola,AdTech • Big Data • Digital Media • Marketing Tech,33 Offices,"1,900 Employees","Taboola empowers businesses to grow through performance advertising technology that goes beyond search and social and delivers measurable outcomes at scale. Taboola works with thousands of businesses who advertise directly on Realize, Taboola’s powerful ad platform, reaching approximately 600M daily active users across some of the best publishers in the world. Publishers like NBC News, Yahoo, and OEMs such as Samsung,...",Advertising,Startup/Venture,Media,Tool,no
CrowdStrike,https://builtin.com/company/crowdstrike,Cloud • Computer Vision • Information Technology • Sales • Security • Cybersecurity,25 Offices,"10,000 Employees","CrowdStrike has redefined security with the world’s most advanced cloud-native platform that protects and enables the people, processes and technologies that drive modern enterprise. Tested and proven, the world's largest organizations trust CrowdStrike to stop breaches with unparalleled protection against the most sophisticated cyberattacks. The CrowdStrike culture has been built upon our Core Values since the day we began. We...",Subscription,Corporate Agile,Bureaucracy,Tool,no
SOPHiA GENETICS,https://builtin.com/company/sophia-genetics,Artificial Intelligence • Big Data • Healthtech • Software • Biotech,3 Offices,450 Employees,"SOPHiA GENETICS (Nasdaq: SOPH) is a healthcare technology company dedicated to establishing the practice of data-driven medicine as the standard of care and for life sciences research. It is the creator of the SOPHiA DDM™ Platform, a cloud-based SaaS platform capable of analyzing data and generating insights from complex multimodal data sets and different diagnostic modalities. The SOPHiA DDM™ Platform...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Globe Life,https://builtin.com/company/globe-life,Insurance • Financial Services,"McKinney, Texas, USA","3,000 Employees","Boasting a rich legacy spanning more than 120 years and serving as the official life insurance of the Dallas Cowboys, Texas Rangers, and Los Angeles Lakers, Globe Life presents a unique opportunity to embark on a rewarding career. At Globe Life, we're searching for passionate and talented individuals who thrive on innovation, creativity, and teamwork. In return, we encourage a healthy...",Licensing,Corporate Agile,Bureaucracy,None,no
Take-Two Interactive Software,https://builtin.com/company/take-two-interactive-software,Gaming • Information Technology • Mobile • Software,12 Offices,"6,500 Employees","Headquartered in New York City, Take-Two Interactive Software, Inc. is a leading developer, publisher, and marketer of interactive entertainment for consumers around the globe. We develop and publish products principally through Rockstar Games, 2K, and Zynga. Our strategy is to create hit entertainment experiences, delivered on every platform relevant to our audience through a variety of sound business models. Our...",Mixed,Startup/Venture,Media,None,no
FourKites,https://builtin.com/company/fourkites,Artificial Intelligence • Big Data • Logistics • Machine Learning • Software • Transportation,4 Offices,475 Employees,"Our platform creates comprehensive digital twins of your supply chain with AI-powered digital workers to automate resolution, improve collaboration and drive outcomes across all stakeholders. Unlike traditional control towers, we enable true real-time execution and intelligent fulfillment, transforming both your supply and customer-facing operations.",Subscription,Startup/Venture,Tool,Bureaucracy,no
CarGurus,https://builtin.com/company/cargurus,Consumer Web • eCommerce • Software,3 Offices,"1,121 Employees","Headquartered in Boston, Massachusetts, CarGurus is the #1 visited digital auto platform in the U.S. for shopping, buying, and selling new and used vehicles and an award-winning place to work. We give drivers and dealers the confidence to buy or sell cars exactly how they want: online, in-person, or a combination of both. Our culture fosters kindness, collaboration, and innovation,...",Advertising,Startup/Venture,Media,Tool,no
New York Life Insurance Company,https://builtin.com/company/new-york-life-insurance-company,Artificial Intelligence • Cloud • Fintech • Information Technology • Insurance • Financial Services • Big Data Analytics,5 Offices,"12,000 Employees","At New York Life, our 180-year legacy of integrity, mutuality, and financial strength fuels a future defined by bold transformation. As the largest mutual life insurance company in the U.S., we operate on behalf of our policy owners—not shareholders. That structure allows us to take a long-term view, investing in people, purpose, and innovation that endures. Guided by a clear enterprise vision...",Licensing,Corporate Agile,Bureaucracy,Tool,no
Affirm,https://builtin.com/company/affirm,Big Data • Fintech • Mobile • Payments • Financial Services,7 Offices,"2,200 Employees","At Affirm, we help people say yes to the things that matter with flexible, transparent ways to pay over time. No hidden fees, no compound interest, and no fine print—just a smarter way to spend.",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Rundoo,https://builtin.com/company/rundoo,Cloud • Information Technology • Internet of Things • Software,2 Offices,50 Employees,"Rundoo gives independent paint and hardware stores the best technology to rise above the competition, so you can win customers, streamline operations, and grow your business.",Subscription,Startup/Venture,Tool,Bureaucracy,no
Postman,https://builtin.com/company/postman,Software,4 Offices,850 Employees,"Postman is the world’s leading API platform, used by more than 40 million developers and 500,000 organizations, including 98% of the Fortune 500. Postman is helping developers and professionals across the globe build the API-first world by simplifying each step of the API lifecycle and streamlining collaboration—enabling users to create better APIs, faster. The company is headquartered in San Francisco and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
PagerDuty,https://builtin.com/company/pagerduty,Artificial Intelligence • Cloud • Information Technology • Machine Learning • Software • Big Data Analytics • Automation,8 Offices,"1,200 Employees","PagerDuty, Inc. (NYSE:PD) is a global leader in digital operations management, enabling customers to achieve operational efficiency at scale with the PagerDuty Operations Cloud. The PagerDuty Operations Cloud combines AIOps, Automation, Customer Service Operations and Incident Management with a powerful generative AI assistant to create a flexible, resilient and scalable platform to increase innovation velocity, grow revenue, reduce cost, and...",Subscription,Startup/Venture,Tool,Bureaucracy,no
EZ Texting,https://builtin.com/company/ez-texting,Marketing Tech • Software,"Fully Remote, USA",68 Employees,"Since 2004, EZ Texting has provided 230,000+ growing businesses and organizations with an effortless way to start text marketing — and powerful features and integrations to keep conversations going. EZ Texting is a recognized leader in text message marketing for small and medium-sized businesses and organizations, setting the standard for professional texting. Our messaging solutions allow everyone to easily and effectively...",Subscription,Startup/Venture,Tool,Media,no
Magna International,https://builtin.com/company/magna-international,Automotive • Hardware • Robotics • Software • Transportation • Manufacturing,10 Offices,"171,000 Employees","We are a mobility company that innovates like a start-up and thinks like a technology company. This helps us anticipate change in one of the most complex industries in the world and respond quickly. We depend on a team of 171,000 dynamic, entrepreneurial-minded employees in an environment where great ideas flourish. Our presence spans 343 manufacturing operations and 88 product...",Hardware sales,Corporate Agile,Tool,None,no
Belvedere Trading,https://builtin.com/company/belvedere-trading,Fintech • Information Technology • Other • Software • Financial Services • Quantitative Trading,4 Offices,265 Employees,"In March of 2002, Belvedere Trading emerged as Chicago’s newest market maker, soon to join the ranks of the Windy City’s elite proprietary trading firms. Armed with printouts of Excel workbooks and a team of eager minds, Belvedere established their place in the SPX pit on the floor of the Chicago Board Options Exchange. From the beginning, we have iteratively...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Geneva Trading,https://builtin.com/company/geneva-trading,Fintech • Financial Services,3 Offices,200 Employees,"Geneva Trading LLC is a leading proprietary trading firm with a history of consistent success in the listed derivatives markets. Over the past 20 years, we’ve grown significant capital, developed proven technology, and maintained an appetite for diversified trading strategies. We foster innovation and look for people who can solve complex problems that drive immediate results. We've built a culture of...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Worksmith,https://builtin.com/company/worksmith,Cannabis • Enterprise Web • HR Tech • Retail • Software • PropTech,"Fully Remote, USA",40 Employees,"Worksmith is a software-enabled marketplace connecting commercial tenants and property owners/managers with qualified local service providers for repairs, maintenance, cleaning and creative services. We currently serve over 5,000 locations for leading brands like Burberry, Nespresso, Faherty Brand, Tiffany & Co., Pandora, Lovisa and Louis Vuitton. As of June 30th, Worksmith acquired Progress Retail, a leading retail operations and learning platform delivering...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Octus,https://builtin.com/company/octus,Fintech • News + Entertainment • Software • Database • Financial Services,7 Offices,808 Employees,"Octus, was founded in 2013 with a simple conviction: credit decisions deserve clarity, not chaos. Markets were fragmented. Intelligence was gated. Data lived in silos. Professionals were forced to stitch together incomplete pictures while the clock kept running. We built Octus to change that. Octus is the essential credit platform that tracks the entire credit lifecycle. From origination and underwriting to...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Dandy,https://builtin.com/company/dandy,Computer Vision • Healthtech • Information Technology • Logistics • Machine Learning • Software • Manufacturing,10 Offices,"1,800 Employees","Dandy is transforming the massive ($400B) but antiquated dental industry. Backed by some of the world's leading venture capital investors, we’re building custom, end-to-end, precision software and manufacturing from the ground up to provide high-quality, consistent, and affordable restorations to our doctors and their patients. 2 million people already have a Dandy product in their mouth and that number is...",Mixed,Startup/Venture,Bureaucracy,Tool,no
ServiceNow,https://builtin.com/company/servicenow,Artificial Intelligence • Cloud • HR Tech • Information Technology • Productivity • Software • Automation,76 Offices,"28,000 Employees","As the AI platform for business transformation, we're putting AI to work across organizations — freeing people for work that matters. Making old tech work with new tech. Reaching across departments, from the front office to the back office and every office in between. Our ambition? To become the AI defining enterprise software company of the 21st century (or ""AI...",Subscription,Corporate Agile,Bureaucracy,Tool,no
mabl,https://builtin.com/company/mabl,Artificial Intelligence • Machine Learning • Software,"Boston, Massachusetts, USA",80 Employees,"mabl is empowering software testers who are aiming to keep pace with today’s dev culture of high-paced software delivery. Making it easy for testers to create and run automated UI tests at scale, mabl buys back hours of time every week and finally brings functional UI testing to the modern era.",Subscription,Startup/Venture,Tool,None,no
Micron Technology,https://builtin.com/company/micron-technology,Artificial Intelligence • Hardware • Information Technology • Machine Learning,12 Offices,"45,000 Employees","We are a world leader in innovative memory solutions that transform how the world uses information to enrich life for all. For over 45 years, our company has been instrumental to the world’s most significant technology advancements, delivering optimal memory and storage systems for a broad range of applications.",Hardware sales,Corporate Agile,Tool,None,no
Teachable,https://builtin.com/company/teachable,eCommerce • Edtech,2 Offices,160 Employees,"Teachable was founded in 2014 to provide a solution that was missing for Creators in what was the early online courses space. Teachable is where seasoned creators around the world build their legacy through education. On Teachable, it’s easy to create high-quality courses, coaching, memberships, and digital downloads that help creators scale their businesses—and truly impact people's lives. With tools designed...",Mixed,Startup/Venture,Tool,Media,no
Engrain,https://builtin.com/company/engrain,Marketing Tech • Real Estate • Software • PropTech,"Greenwood Village, Colorado, USA",185 Employees,"Engrain’s mission is to fundamentally transform the way people find, lease and manage property. A recognized leader in next-generation touring technology and map-based data visualization software, Engrain’s advanced integrations and technical flexibility offer solutions for any real-estate technology stack.",Subscription,Startup/Venture,Tool,Media,no
Mixbook,https://builtin.com/company/mixbook,eCommerce • Mobile • Retail • Software • Design • Generative AI,3 Offices,115 Employees,"Mixbook is an award-winning design platform that gives people unrivaled creative freedom to tell their stories through beautiful, personalized photo goods. Since our start, we’ve helped more than 6 million people create one-of-a-kind books, cards, prints, and calendars, earning over 35,000+ 5-star reviews and becoming the #1 rated photo book service in the US. Our platform blends trend-forward design with a...",Transaction fees,Startup/Venture,Tool,Media,no
Click Therapeutics,https://builtin.com/company/click-therapeutics,Healthtech • Biotech • App development,4 Offices,100 Employees,"Click Therapeutics, Inc., develops, validates, and commercializes software as prescription medical treatments for people with unmet medical needs. As a leading innovator of Digital Therapeutics™, Click delivers accessible, clinically proven, FDA-regulated prescription treatments to the smartphone in your hand. Click’s treatments are defined by a commitment to applying technical and scientific rigor and patient-centric design to the development process. This...",Licensing,Startup/Venture,Tool,Bureaucracy,no
Assembled,https://builtin.com/company/assembled,Artificial Intelligence • Software • Automation,3 Offices,130 Employees,"Industry leaders like Etsy, Robinhood, and Stripe trust Assembled to provide customer-facing AI agents and workforce planning at scale. We automatically resolve millions of interactions through chat, email, and phone while optimizing staffing for hundreds of thousands of support professionals. Our mission is to elevate customer support through AI-powered software that makes life easier for customers and employees.",Subscription,Startup/Venture,Tool,Bureaucracy,no
