name,builtin_url,sectors,location,employees,description,hub
PEAK6,https://builtin.com/company/peak6,Fintech • Information Technology • Financial Services • App development,4 Offices,"1,900 Employees","PEAK6 is not your typical investment firm. Here, we build and invest in businesses that span from finance and insurance to esports and education - and we're always seeking new opportunities. We're not defined by one industry or market. We activate ""what is"" into ""what ought to be"" through world-class technology, operational excellence, and purposeful design. We're in the business...",new-york-city
BlackRock,https://builtin.com/company/blackrock,Fintech • Information Technology • Financial Services,30 Offices,"25,000 Employees","As the world’s largest asset manager, BlackRock partners with investors around the globe to help them (and those on whose behalf they invest) plan for life’s most important goals – like retirement, home ownership and their children’s education. Our clients range from governments, foundations and other large institutions to those investing on behalf of individuals, including firefighters, nurses, teachers and...",new-york-city
Optimum,https://builtin.com/company/optimum,AdTech • Digital Media • Internet of Things • Marketing Tech • Mobile • Retail • Software,3 Offices,"9,000 Employees","We Make a Difference Because We Are the Difference! At Optimum, we’re not just connecting people – we’re transforming how they experience the world. With a footprint spanning 21 states and serving approximately 4.5 million residential and business customers, we're building the future of connectivity through innovative services like Optimum Fiber Internet, Optimum TV, and Optimum Mobile. This connectivity wouldn’t...",new-york-city
HiBob,https://builtin.com/company/hibob,HR Tech • Information Technology • Professional Services • Sales • Software,7 Offices,"1,350 Employees","HiBob helps modern, mid-size businesses transform the way they manage people, giving HR and managers all they need to connect, engage, develop, and retain top talent. Since 2015, we’ve achieved consecutive triple-digit year-over-year growth, all backed by our amazing team of Bobbers from across the globe, making us the choice HRIS of over 4000 midsize and multinational companies. Our HR platform...",new-york-city
Tapestry - Coach and Kate Spade,https://builtin.com/company/tapestry,eCommerce • Fashion • Other • Retail • Sales • Wearables • Design,7 Offices,"16,000 Employees","A tapestry is made of many threads woven into one story. So are we. Our global house of brands unites the magic of Coach and Kate Spade New York. By intertwining different people and ideas, we push ourselves in our work, pull out the unexpected in what we create, and expand the bounds of possibility. Our brands were created by...",new-york-city
Altana,https://builtin.com/company/altana-ai,Artificial Intelligence • Machine Learning • Software,6 Offices,228 Employees,"Altana is the world's product network, empowering a new era of global commerce by uniting businesses and governments on a trusted, AI-powered platform to build a safer, more resilient supply chain. The United States and allied governments use Altana’s product network to enforce tariffs and manage their borders. Five of the world’s 10 largest logistics providers use Altana to efficiently...",new-york-city
Vetcove,https://builtin.com/company/vetcove,Healthtech • Pet,"Fully Remote, USA",65 Employees,"Vetcove is a Y Combinator and venture-backed growth stage company with notable investors in Silicon Valley and NYC. Our mission is to provide veterinary hospitals and nonprofits with technology that helps them succeed through our eCommerce and mobile platforms. Our community includes more than 17,000 veterinary hospitals and nonprofits whose staff collectively deliver care to tens of millions of animals...",new-york-city
Alloy,https://builtin.com/company/alloy,Fintech • Information Technology • Software • Financial Services,"New York, New York, USA",315 Employees,"Alloy is the only end-to-end identity risk management platform for companies that offer financial products. Beginning with origination and account opening, Alloy provides over 600 of the world's leading banks, credit unions, and fintechs with a scalable, flexible platform to manage identity risk throughout the customer lifecycle. With configurable solutions for fraud, credit and compliance risk, dedicated expert guidance and...",new-york-city
Perchwell,https://builtin.com/company/perchwell-0,Mobile • Real Estate • Software • Database • Analytics,"New York, New York, USA",60 Employees,"Built on a state-of-the-art data engine, Perchwell empowers real estate professionals to do their best work, provide differentiated service to their clients, and close more deals. Backed by Lux Capital, Founders Fund and some of the country’s leading MLSs, Perchwell is scaling its best-in-class solution to become the nation’s most powerful real estate platform for agents, brokerages and MLSs. Mission: At Perchwell,...",new-york-city
Navan,https://builtin.com/company/navan,Fintech • Information Technology • Payments • Productivity • Software • Travel • Automation,16 Offices,"3,300 Employees","Navan (Nasdaq: NAVN) is the leading all-in-one business travel, payments, and expense management platform that makes travel easy for frequent travelers. From finding flights and hotels to automating expense reconciliation, with 24/7 support along the way, Navan delivers an intuitive experience travelers love and finance teams rely on. See how Navan customers benefit and learn more at navan.com.",new-york-city
