sector,n_companies,n_scored,cagr_median,sfr_median,margin_median,cagr_score,sfr_score,margin_score,investing_score,insufficient_data
Gaming & virtual environments,6,6,0.6053482865429927,1.709484549950951,0.21584190082291005,0.8580079031436237,0.6740679378255583,0.629553153017832,0.6813632123404979,0
Semiconductors,15,14,0.2714865208425965,2.0591782965837213,0.3071585899569031,0.410635667308512,0.7591469230037459,0.7332612213340873,0.667974659675536,0
Fintech & payments,48,38,0.23480264346233848,0.1381702058380556,0.2011810749245761,0.3614795496312501,0.2917739131816337,0.6129029004927308,0.5272376498124929,0
Hardware & Networking,10,10,0.194599336242941,1.8414886720622725,0.10185084538079192,0.307607422641878,0.7061839732328564,0.500093880267737,0.518540092730597,0
Creative & design tools,4,4,0.1950573645471425,1.1549569035352063,0.276573708036025,0.3082211770982966,0.5391537454369684,0.6985260699200806,0.4852302879177056,1
Cybersecurity & identity,8,6,0.44956007061880465,0.22539907402990983,0.06449006279784693,0.6492528744611511,0.31299632180479486,0.4576633604010408,0.4580105343825447,0
Search engines,1,1,0.5238353176583448,-0.1848219144947693,-0.07147467377578223,0.7487811425920499,0.21319131888856024,0.3032486491045209,0.45444444743474427,1
Enterprise / ERP / HRM,38,36,0.22348701430965912,0.4766899509260205,0.13575176780859532,0.3463166923232408,0.3741343118224135,0.5385950481535746,0.4514458090993831,0
Developer tooling,11,10,0.42064576170010737,-0.05742148084330362,-0.025685461564052263,0.6105079196399607,0.24418729668541336,0.3552513092232381,0.43773368517900657,0
Advertising & attention,16,15,0.21148155050811912,0.544633765136716,0.044121457124301496,0.33022946181373636,0.3906647497208406,0.43453080085763335,0.4269074424576528,0
Subscription content,5,4,0.2462319886342874,0.30561810651408816,0.07236638555388891,0.37679478554327284,0.3325132675364472,0.46660847466450134,0.4069308008955346,1
Productivity & collaboration,15,15,0.32186052683434485,0.30926357022422996,0.08774394057357332,0.47813645357321793,0.333400193184816,0.48407271413313036,0.39557115458695064,0
E-commerce platforms,8,7,0.1575610126538849,0.011882716049382716,0.014804168027613779,0.25797634973103123,0.26104870984191186,0.40123525051167935,0.37598754625695635,0
E-learning & skill platforms,6,6,0.3800000329966057,0.14412400517777885,0.02246371731951036,0.5560429512148226,0.29322244696485333,0.4099341758534659,0.3753781166256849,0
GovTech / RegTech / MedTech,13,12,0.11149970644752893,0.3830993786778001,0.03895177520571327,0.1962545484945421,0.3513641279521073,0.42865960983361845,0.36906302213258135,0
Marketplaces & gig platforms,14,14,0.1480923243360418,0.5113603226173276,0.09190838536978588,0.24528837914448431,0.3825694642026035,0.4888022606105673,0.357646400969475,0
AI foundation models,13,13,0.3375792617318869,-0.13666793950625503,-0.06160031022625895,0.49919943920998394,0.2249069739832479,0.3144629318307689,0.32874915299046226,0
AI assistants & copilots,2,2,,-0.9139738961653492,-0.7770784868424024,,0.03765442725610986,0.0344669991315374,0.036060713193823625,1
